Source,Target,Type,Id,Label,Weight,key
R2-D2,R2-D2,Undirected,0,,17,0
R2-D2,Chewbacca,Undirected,1,,2,0
R2-D2,Obi-Wan,Undirected,2,,28,0
R2-D2,Padme (Queen Amidala),Undirected,3,,24,0
R2-D2,Qui-Gon,Undirected,4,,13,0
R2-D2,Anakin,Undirected,5,,30,0
R2-D2,Watto,Undirected,6,,3,0
R2-D2,C-3PO,Undirected,7,,55,0
R2-D2,Kitster,Undirected,8,,2,0
R2-D2,Jabba,Undirected,9,,4,0
R2-D2,Emperor (Palpatine),Undirected,10,,5,0
R2-D2,Captain Typho,Undirected,11,,1,0
R2-D2,Beru,Undirected,12,,1,0
R2-D2,Owen,Undirected,13,,2,0
R2-D2,Bail Organa,Undirected,14,,3,0
R2-D2,Yoda,Undirected,15,,5,0
R2-D2,Luke,Undirected,16,,34,0
R2-D2,Leia,Undirected,17,,23,0
R2-D2,Captain Antille,Undirected,18,,1,0
R2-D2,Biggs,Undirected,19,,1,0
R2-D2,Darth Vader,Undirected,20,,2,0
R2-D2,Han,Undirected,21,,18,0
R2-D2,Lando,Undirected,22,,5,0
Chewbacca,Chewbacca,Undirected,23,,8,0
Chewbacca,Obi-Wan,Undirected,24,,6,0
Chewbacca,C-3PO,Undirected,25,,39,0
Chewbacca,Luke,Undirected,26,,32,0
Chewbacca,Han,Undirected,27,,77,0
Chewbacca,Jabba,Undirected,28,,3,0
Chewbacca,Leia,Undirected,29,,48,0
Chewbacca,Darth Vader,Undirected,30,,2,0
Chewbacca,Rieekan,Undirected,31,,1,0
Chewbacca,Lando,Undirected,32,,20,0
Chewbacca,Boba Fett,Undirected,33,,2,0
Chewbacca,Finn,Undirected,34,,20,0
Chewbacca,Rey,Undirected,35,,13,0
Chewbacca,Bala-Tik,Undirected,36,,1,0
Chewbacca,Maz,Undirected,37,,2,0
Chewbacca,Poe,Undirected,38,,2,0
Chewbacca,Kylo Ren,Undirected,39,,3,0
Chewbacca,Captain Phasma,Undirected,40,,1,0
BB-8,Poe,Undirected,41,,8,0
BB-8,Lor San Tekka,Undirected,42,,2,0
BB-8,Rey,Undirected,43,,17,0
BB-8,Unkar Plutt,Undirected,44,,1,0
BB-8,Finn,Undirected,45,,15,0
BB-8,Han,Undirected,46,,9,0
BB-8,Bala-Tik,Undirected,47,,1,0
BB-8,Maz,Undirected,48,,3,0
BB-8,Leia,Undirected,49,,3,0
BB-8,C-3PO,Undirected,50,,3,0
Qui-Gon,Nute Gunray,Undirected,51,,1,0
Qui-Gon,TC-14,Undirected,52,,1,0
Qui-Gon,Obi-Wan,Undirected,53,,26,0
Qui-Gon,Jar Jar,Undirected,54,,22,0
Qui-Gon,Boss Nass,Undirected,55,,2,0
Qui-Gon,Sio Bibble,Undirected,56,,2,0
Qui-Gon,Captain Panaka,Undirected,57,,9,0
Qui-Gon,Padme (Queen Amidala),Undirected,58,,16,0
Qui-Gon,Ric Olie,Undirected,59,,2,0
Qui-Gon,Watto,Undirected,60,,6,0
Qui-Gon,Anakin,Undirected,61,,22,0
Qui-Gon,Sebulba,Undirected,62,,2,0
Qui-Gon,Jira,Undirected,63,,2,0
Qui-Gon,Shmi,Undirected,64,,8,0
Qui-Gon,Kitster,Undirected,65,,2,0
Qui-Gon,Wald,Undirected,66,,2,0
Qui-Gon,C-3PO,Undirected,67,,1,0
Qui-Gon,Jabba,Undirected,68,,1,0
Qui-Gon,Greedo,Undirected,69,,1,0
Qui-Gon,Emperor (Palpatine),Undirected,70,,1,0
Qui-Gon,Valorum,Undirected,71,,1,0
Qui-Gon,Mace Windu,Undirected,72,,2,0
Qui-Gon,Ki-Adi-Mundi,Undirected,73,,2,0
Qui-Gon,Yoda,Undirected,74,,3,0
Qui-Gon,Rabe,Undirected,75,,1,0
Qui-Gon,Bail Organa,Undirected,76,,1,0
