Id,Label,value,colour,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
R2-D2,R2-D2,171,#bde0f6,23,279,4,0.521327,0.584091,228.212714,0.227712,0.227712,0.021331,0,2,1,0.387352,98,0.78508
Chewbacca,Chewbacca,145,#A0522D,19,297,3,0.493274,0.55303,373.981217,0.141974,0.141974,0.018701,0,2,4,0.432749,74,0.519314
BB-8,BB-8,40,#eb5d00,12,72,4,0.40293,0.460606,130.681489,0.080666,0.080665,0.0126,0,5,4,0.5,33,0.301314
Qui-Gon,Qui-Gon,62,#4f4fb1,27,152,5,0.482456,0.574545,220.903133,0.228972,0.228972,0.025475,0,1,0,0.324786,114,0.76667
Nute Gunray,Nute Gunray,25,#808080,16,34,5,0.419847,0.494242,241.643296,0.114289,0.11429,0.017447,0,1,0,0.333333,40,0.386788
PK-4,PK-4,4,#808080,2,2,5,0.364238,0.391212,0,0.020321,0.020321,0.003349,0,1,0,1,1,0.069467
TC-14,TC-14,5,#808080,5,5,5,0.384615,0.424545,33.662859,0.041293,0.041293,0.006715,0,1,0,0.5,5,0.140513
Obi-Wan,Obi-Wan,148,#48D1CC,37,261,4,0.564103,0.650758,1253.210988,0.281048,0.281048,0.037343,0,1,0,0.217718,145,0.960755
Dofine,Dofine,4,#808080,3,3,6,0.298913,0.332576,0.833333,0.010393,0.010393,0.004785,0,1,0,0.666667,2,0.037189
Rune,Rune,11,#808080,4,14,6,0.347003,0.38197,10.46852,0.022604,0.022604,0.00561,0,1,0,0.666667,4,0.077925
Tey How,Tey How,5,#808080,3,4,6,0.298103,0.331061,0.5,0.009285,0.009285,0.004824,0,1,0,0.666667,2,0.03365
Emperor (Palpatine),Emperor (Palpatine),52,#191970,23,84,5,0.506912,0.578333,455.456467,0.210936,0.210937,0.022328,0,1,3,0.375494,95,0.712264
